"","subject","Early","Ontime","Late","ShortDelay","LongDelay","Comparison_onsets","Delay_length","Accuracy"
"1","s03",0.548611112,0.576388889,0.548611112,0.560185185,0.555555556,"Early","Shortdelay",0.541666667
"2","s04",0.763888889,0.784722223,0.791666667,0.782407408,0.777777778,"Early","Shortdelay",0.75
"3","s06",0.583333333,0.569444445,0.625,0.597222222,0.587962963,"Early","Shortdelay",0.583333333
"4","s07",0.75,0.756944445,0.756944445,0.740740741,0.768518519,"Early","Shortdelay",0.736111111
"5","s08",0.756944445,0.8125,0.819444445,0.74537037,0.847222222,"Early","Shortdelay",0.638888889
"6","s10",0.659722222,0.805555556,0.743055556,0.694444444,0.777777778,"Early","Shortdelay",0.569444444
"7","s12",0.763888889,0.770833334,0.777777778,0.773148148,0.768518519,"Early","Shortdelay",0.736111111
"8","s13",0.75,0.784722223,0.75,0.708333333,0.814814815,"Early","Shortdelay",0.625
"9","s14",0.694444445,0.701388889,0.638888889,0.712962963,0.643518519,"Early","Shortdelay",0.75
"10","s15",0.666666667,0.756944445,0.756944445,0.680555556,0.773148148,"Early","Shortdelay",0.611111111
"11","s16",0.847222222,0.840277778,0.881944445,0.828703704,0.884259259,"Early","Shortdelay",0.833333333
"12","s17",0.673611112,0.770833333,0.729166667,0.689814815,0.759259259,"Early","Shortdelay",0.680555556
"13","s18",0.6875,0.611111111,0.708333334,0.666666667,0.671296296,"Early","Shortdelay",0.611111111
"14","s19",0.701388889,0.715277778,0.715277778,0.652777778,0.768518519,"Early","Shortdelay",0.666666667
"15","s21",0.798611112,0.826388889,0.819444445,0.828703704,0.800925926,"Early","Shortdelay",0.805555556
"16","s22",0.784722223,0.826388889,0.854166667,0.805555556,0.837962963,"Early","Shortdelay",0.763888889
"17","s23",0.638888889,0.708333334,0.701388889,0.708333333,0.657407408,"Early","Shortdelay",0.625
"18","s25",0.659722222,0.715277778,0.673611111,0.62037037,0.74537037,"Early","Shortdelay",0.569444444
"19","s26",0.8125,0.826388889,0.763888889,0.782407408,0.819444444,"Early","Shortdelay",0.791666667
"20","s27",0.770833333,0.694444445,0.791666667,0.699074074,0.805555555,"Early","Shortdelay",0.722222222
"21","s28",0.729166667,0.791666667,0.770833334,0.782407408,0.745370371,"Early","Shortdelay",0.777777778
"22","s29",0.673611111,0.756944444,0.673611111,0.662037037,0.740740741,"Early","Shortdelay",0.597222222
"23","s30",0.8125,0.819444445,0.840277778,0.833333333,0.814814815,"Early","Shortdelay",0.777777778
"24","s31",0.826388889,0.798611111,0.881944445,0.796296296,0.875,"Early","Shortdelay",0.763888889
"25","s32",0.770833334,0.729166667,0.826388889,0.800925926,0.75,"Early","Shortdelay",0.763888889
"26","s34",0.75,0.791666667,0.777777778,0.763888889,0.782407408,"Early","Shortdelay",0.736111111
"27","s36",0.8125,0.895833334,0.875,0.837962963,0.884259259,"Early","Shortdelay",0.763888889
"28","s37",0.895833334,0.9375,0.923611112,0.930555556,0.907407408,"Early","Shortdelay",0.902777778
"29","s39",0.680555556,0.659722223,0.631944445,0.675925926,0.638888889,"Early","Shortdelay",0.708333333
"30","s40",0.763888889,0.784722222,0.715277778,0.703703704,0.805555556,"Early","Shortdelay",0.736111111
"31","s41",0.743055556,0.715277778,0.770833334,0.708333333,0.777777778,"Early","Shortdelay",0.680555556
"32","s47",0.777777778,0.798611111,0.819444445,0.810185185,0.787037037,"Early","Shortdelay",0.777777778
"33","s48",0.645833334,0.673611111,0.659722222,0.625,0.694444444,"Early","Shortdelay",0.541666667
"34","s49",0.673611111,0.756944445,0.736111112,0.666666667,0.777777778,"Early","Shortdelay",0.597222222
"35","s50",0.666666667,0.701388889,0.729166667,0.675925926,0.722222222,"Early","Shortdelay",0.652777778
"36","s51",0.881944445,0.923611111,0.909722222,0.893518518,0.916666667,"Early","Shortdelay",0.875
"37","s52",0.569444445,0.694444445,0.625,0.675925926,0.583333333,"Early","Shortdelay",0.625
"38","s53",0.756944445,0.798611111,0.791666667,0.824074074,0.740740741,"Early","Shortdelay",0.763888889
"39","s54",0.756944445,0.736111112,0.763888889,0.699074074,0.805555556,"Early","Shortdelay",0.708333333
"40","s55",0.805555556,0.875,0.854166667,0.824074074,0.865740741,"Early","Shortdelay",0.791666667
"41","s56",0.625,0.701388889,0.659722223,0.648148148,0.675925926,"Early","Shortdelay",0.638888889
"42","s57",0.715277778,0.840277778,0.791666667,0.763888889,0.800925926,"Early","Shortdelay",0.666666667
"43","s58",0.743055556,0.784722223,0.715277778,0.726851852,0.768518519,"Early","Shortdelay",0.736111111
"44","s59",0.743055556,0.798611111,0.694444445,0.731481481,0.759259259,"Early","Shortdelay",0.694444444
"45","s60",0.819444445,0.784722222,0.847222223,0.773148148,0.861111111,"Early","Shortdelay",0.763888889
"46","s61",0.729166667,0.743055556,0.722222222,0.731481481,0.731481481,"Early","Shortdelay",0.722222222
"47","s62",0.861111112,0.875,0.854166667,0.810185185,0.916666667,"Early","Shortdelay",0.791666667
"48","s63",0.569444445,0.645833333,0.6875,0.606481481,0.662037037,"Early","Shortdelay",0.611111111
"49","s03",0.548611112,0.576388889,0.548611112,0.560185185,0.555555556,"Ontime","Shortdelay",0.583333333
"50","s04",0.763888889,0.784722223,0.791666667,0.782407408,0.777777778,"Ontime","Shortdelay",0.791666667
"51","s06",0.583333333,0.569444445,0.625,0.597222222,0.587962963,"Ontime","Shortdelay",0.597222222
"52","s07",0.75,0.756944445,0.756944445,0.740740741,0.768518519,"Ontime","Shortdelay",0.777777778
"53","s08",0.756944445,0.8125,0.819444445,0.74537037,0.847222222,"Ontime","Shortdelay",0.819444444
"54","s10",0.659722222,0.805555556,0.743055556,0.694444444,0.777777778,"Ontime","Shortdelay",0.75
"55","s12",0.763888889,0.770833334,0.777777778,0.773148148,0.768518519,"Ontime","Shortdelay",0.75
"56","s13",0.75,0.784722223,0.75,0.708333333,0.814814815,"Ontime","Shortdelay",0.777777778
"57","s14",0.694444445,0.701388889,0.638888889,0.712962963,0.643518519,"Ontime","Shortdelay",0.722222222
"58","s15",0.666666667,0.756944445,0.756944445,0.680555556,0.773148148,"Ontime","Shortdelay",0.75
"59","s16",0.847222222,0.840277778,0.881944445,0.828703704,0.884259259,"Ontime","Shortdelay",0.805555556
"60","s17",0.673611112,0.770833333,0.729166667,0.689814815,0.759259259,"Ontime","Shortdelay",0.694444444
"61","s18",0.6875,0.611111111,0.708333334,0.666666667,0.671296296,"Ontime","Shortdelay",0.638888889
"62","s19",0.701388889,0.715277778,0.715277778,0.652777778,0.768518519,"Ontime","Shortdelay",0.625
